run_id,agent,clean_mode,order_mode,order_seed,repeat,position,task,cluster,role,snapshot_scope
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,0,ExpenseAddMultiple,expense,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,1,ExpenseAddSingle,expense,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,2,ExpenseDeleteDuplicates,expense,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,3,ExpenseDeleteDuplicates2,expense,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,4,ExpenseDeleteMultiple,expense,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,5,ExpenseDeleteSingle,expense,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,6,FilesDeleteFile,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,7,FilesMoveFile,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,8,MarkorAddNoteHeader,markor,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,9,MarkorCreateFolder,markor,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,10,MarkorCreateNote,markor,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,11,MarkorDeleteAllNotes,markor,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,12,MarkorDeleteNewestNote,markor,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,13,MarkorEditNote,markor,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,14,MarkorMoveNote,markor,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,15,RetroCreatePlaylist,music,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,16,RetroPlayingQueue,music,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,17,RetroSavePlaylist,music,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,18,SaveCopyOfReceiptTaskEval,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,19,SimpleCalendarAddOneEvent,calendar,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,20,SimpleCalendarAddOneEventTomorrow,calendar,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,21,SimpleCalendarAnyEventsOnDate,calendar,read,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,22,SimpleCalendarDeleteEvents,calendar,write,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,23,SimpleCalendarEventsInTimeRange,calendar,read,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,24,SimpleCalendarEventsOnDate,calendar,read,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,25,SimpleCalendarNextEvent,calendar,read,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,26,SimpleDrawProCreateDrawing,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,27,SystemBrightnessMax,system,system_write,out
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,28,SystemCopyToClipboard,system,system_write,out
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,29,SystemWifiTurnOff,system,system_write,out
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,30,TasksDueNextWeek,tasks,read,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,31,TasksDueOnDate,tasks,read,in
t3a_gpt4|official|canonical|s0|r0,t3a_gpt4,official,canonical,0,0,32,TasksHighPriorityTasks,tasks,read,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,0,ExpenseAddMultiple,expense,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,1,ExpenseAddSingle,expense,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,2,ExpenseDeleteDuplicates,expense,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,3,ExpenseDeleteDuplicates2,expense,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,4,ExpenseDeleteMultiple,expense,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,5,ExpenseDeleteSingle,expense,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,6,FilesDeleteFile,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,7,FilesMoveFile,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,8,MarkorAddNoteHeader,markor,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,9,MarkorCreateFolder,markor,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,10,MarkorCreateNote,markor,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,11,MarkorDeleteAllNotes,markor,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,12,MarkorDeleteNewestNote,markor,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,13,MarkorEditNote,markor,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,14,MarkorMoveNote,markor,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,15,RetroCreatePlaylist,music,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,16,RetroPlayingQueue,music,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,17,RetroSavePlaylist,music,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,18,SaveCopyOfReceiptTaskEval,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,19,SimpleCalendarAddOneEvent,calendar,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,20,SimpleCalendarAddOneEventTomorrow,calendar,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,21,SimpleCalendarAnyEventsOnDate,calendar,read,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,22,SimpleCalendarDeleteEvents,calendar,write,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,23,SimpleCalendarEventsInTimeRange,calendar,read,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,24,SimpleCalendarEventsOnDate,calendar,read,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,25,SimpleCalendarNextEvent,calendar,read,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,26,SimpleDrawProCreateDrawing,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,27,SystemBrightnessMax,system,system_write,out
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,28,SystemCopyToClipboard,system,system_write,out
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,29,SystemWifiTurnOff,system,system_write,out
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,30,TasksDueNextWeek,tasks,read,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,31,TasksDueOnDate,tasks,read,in
t3a_gpt4|official|canonical|s0|r1,t3a_gpt4,official,canonical,0,1,32,TasksHighPriorityTasks,tasks,read,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,0,ExpenseAddMultiple,expense,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,1,ExpenseAddSingle,expense,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,2,ExpenseDeleteDuplicates,expense,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,3,ExpenseDeleteDuplicates2,expense,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,4,ExpenseDeleteMultiple,expense,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,5,ExpenseDeleteSingle,expense,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,6,FilesDeleteFile,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,7,FilesMoveFile,filesystem,fs_write,out
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,8,MarkorAddNoteHeader,markor,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,9,MarkorCreateFolder,markor,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,10,MarkorCreateNote,markor,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,11,MarkorDeleteAllNotes,markor,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,12,MarkorDeleteNewestNote,markor,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,13,MarkorEditNote,markor,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,14,MarkorMoveNote,markor,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,15,RetroCreatePlaylist,music,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,16,RetroPlayingQueue,music,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,17,RetroSavePlaylist,music,write,in
t3a_gpt4|official|canonical|s0|r2,t3a_gpt4,official,canonical,0,2,18,SaveCopyOfReceiptTaskEval,filesystem,fs_write,out
